,movie,year,genre.1,genre.2,genre.3,imdb_rating,metascore,time_minute,vote,gross_earning
0,"Aguirre, der Zorn Gottes",(1972),Action, Adventure, Biography,7.8,'-,95 min,58519,'-
1,The General,(1926),Action, Adventure, Comedy,8.1,'-,67 min,92992,$1.03M
2,Kakushi-toride no san-akunin,(1958),Action, Adventure, Drama,8.1,89,139 min,40060,'-
3,The Magnificent Seven,(1960),Action, Adventure, Drama,7.7,74,128 min,97247,$4.91M
4,Sherlock Jr.,(1924),Action, Comedy, Romance,8.2,'-,45 min,51515,$0.98M
5,Knockin' on Heaven's Door,(1997),Action, Crime, Comedy,7.8,'-,87 min,31665,$0.00M
6,Key Largo,(1948),Action, Crime, Drama,7.7,'-,100 min,41963,'-
7,Scarface,(1932),Action, Crime, Drama,7.7,87,93 min,28811,'-
8,Badlands,(1973),Action, Crime, Drama,7.7,93,94 min,74643,'-
9,Chugyeokja,(2008),Action, Crime, Drama,7.8,64,125 min,68350,'-
10,White Heat,(1949),Action, Crime, Drama,8.1,'-,114 min,33911,'-
11,Tropa de Elite 2: O Inimigo Agora é Outro,(2010),Action, Crime, Drama,8.0,71,115 min,84267,$0.10M
12,Seppuku,(1962),Action, Drama, Mystery,8.6,85,133 min,59464,#45
13,Gongdong gyeongbi guyeok JSA,(2000),Action, Drama, Thriller,7.7,58,110 min,31720,'-
14,Nefes: Vatan Sagolsun,(2009),Action, Drama, Thriller,8.0,'-,128 min,34237,'-
15,Sullivan's Travels,(1941),Adventure, Comedy, Drama,7.9,'-,90 min,27133,'-
16,The Gold Rush,(1925),Adventure, Comedy, Drama,8.1,'-,95 min,112918,$5.45M
17,Fitzcarraldo,(1982),Adventure, Drama,'-,8.0,'-,158 min,36109,'-
18,Stagecoach,(1939),Adventure, Drama, Western,7.8,93,96 min,50670,'-
19,The Treasure of the Sierra Madre,(1948),Adventure, Drama, Western,8.2,98,126 min,126613,$5.01M
20,King Kong,(1933),Adventure, Horror, Sci-Fi,7.9,90,100 min,87193,$10.00M
21,In Cold Blood,(1967),Biography, Crime, Drama,7.9,89,134 min,27415,'-
22,Zerkalo,(1975),Biography, Drama,'-,8.0,80,107 min,48449,$0.18M
23,The Message,(1976),Biography, Drama, History,8.1,'-,177 min,48585,'-
24,Inherit the Wind,(1960),Biography, Drama, History,8.1,75,128 min,31098,'-
